names	E-MEXP-3521_MTB18hD_control	E-MEXP-3521_MTB18hM_control	E-MEXP-3521_MTB48hD_control	E-MEXP-3521_MTB48hM_control	E-MEXP-3521_MTB4hD_control	E-MEXP-3521_MTB4hM_control	GSE139871_MTB_control	GSE16250_MTB_control	GSE17477_MTB_control	GSE19435_MTB_control	GSE19439_PTB_control	GSE19444_PTB_control	GSE19491_PTB_control	GSE29536_PTB_control	GSE34151_MTB_control	GSE54992_MTB_control
E-MEXP-3521_MTB18hD_control	1	0.9422110552763819	0.9697491169278145	0.9337061423288536	0.9663842579939874	0.939748201438849	0.5218941207768023	0.5601215553560329	0.8875593876473693	0.513751078515962	0.516726403823178	0.5184359912992732	0.5349710530433422	0.5182157743734098	0.5287494973864093	0.5952543530215091
E-MEXP-3521_MTB18hM_control	0.9422110552763819	1	0.9392748705125915	0.9639449541284404	0.9354346264367817	0.9687385740402193	0.520434227330779	0.5607140386079015	0.8895651406897769	0.5120254529767041	0.5158117800478157	0.516577369900801	0.5331421121251629	0.5160731680917848	0.5268341708542713	0.5942499288357529
E-MEXP-3521_MTB48hD_control	0.9697491169278145	0.9392748705125915	1	0.9292376681614349	0.9586687166500859	0.9373377495300331	0.524508240297714	0.561320104726471	0.8930612962800105	0.5161620515030708	0.519069060923344	0.5212066588908918	0.5384856070087609	0.5207138994050838	0.5321372933313232	0.5986235923103174
E-MEXP-3521_MTB48hM_control	0.9337061423288536	0.9639449541284404	0.9292376681614349	1	0.9261932689704954	0.9584136601487193	0.5133909517712335	0.5593693316589926	0.8797731903960309	0.5041340178330181	0.5070476190476191	0.5075419587847886	0.523643006263048	0.5074262792714658	0.5173714113328975	0.5862816708514038
E-MEXP-3521_MTB4hD_control	0.9663842579939874	0.9354346264367817	0.9586687166500859	0.9261932689704954	1	0.9367899008115419	0.517133127593913	0.556955017301038	0.8838624338624339	0.5097393838018669	0.5130992499184694	0.5140097643812354	0.5310233262015343	0.5140272963604853	0.5247121524460757	0.590800409882728
E-MEXP-3521_MTB4hM_control	0.939748201438849	0.9687385740402193	0.9373377495300331	0.9584136601487193	0.9367899008115419	1	0.5180312150428807	0.5586135181975737	0.8863656446054609	0.5086858006042296	0.5118730641743194	0.5136153723658369	0.5295222199040267	0.513624790075302	0.5237281319123266	0.5911240243832963
GSE139871_MTB_control	0.5218941207768023	0.520434227330779	0.524508240297714	0.5133909517712335	0.517133127593913	0.5180312150428807	1	0.5682180427159707	0.5133838114535566	0.7678048287705829	0.7603656380990859	0.7853053435114504	0.8198108013414085	0.7656502423263328	0.8684144694051134	0.6861014660493827
GSE16250_MTB_control	0.5601215553560329	0.5607140386079015	0.561320104726471	0.5593693316589926	0.556955017301038	0.5586135181975737	0.5682180427159707	1	0.5622686316965845	0.5270811380400422	0.5220855981846008	0.5329596179798609	0.5433090890595595	0.5322222222222223	0.5517856258358512	0.6629136029411765
GSE17477_MTB_control	0.8875593876473693	0.8895651406897769	0.8930612962800105	0.8797731903960309	0.8838624338624339	0.8863656446054609	0.5133838114535566	0.5622686316965845	1	0.5037257019438445	0.5072077462873307	0.508258537362579	0.524028176363162	0.5092210891733565	0.5182019308125503	0.5866849221290433
GSE19435_MTB_control	0.513751078515962	0.5120254529767041	0.5161620515030708	0.5041340178330181	0.5097393838018669	0.5086858006042296	0.7678048287705829	0.5270811380400422	0.5037257019438445	1	0.91060395212914	0.8653313445557212	0.9135241961328918	0.8027218005757655	0.8377015625780041	0.6674738473459899
GSE19439_PTB_control	0.516726403823178	0.5158117800478157	0.519069060923344	0.5070476190476191	0.5130992499184694	0.5118730641743194	0.7603656380990859	0.5220855981846008	0.5072077462873307	0.91060395212914	1	0.8521429709490679	0.9068561962272217	0.7948194662480377	0.8307039440838742	0.6634969920434698
GSE19444_PTB_control	0.5184359912992732	0.516577369900801	0.5212066588908918	0.5075419587847886	0.5140097643812354	0.5136153723658369	0.7853053435114504	0.5329596179798609	0.508258537362579	0.8653313445557212	0.8521429709490679	1	0.9033540892679609	0.8263479304765384	0.8639493115146677	0.6864333236910616
GSE19491_PTB_control	0.5349710530433422	0.5331421121251629	0.5384856070087609	0.523643006263048	0.5310233262015343	0.5295222199040267	0.8198108013414085	0.5433090890595595	0.524028176363162	0.9135241961328918	0.9068561962272217	0.9033540892679609	1	0.8560763168809623	0.9019383128207683	0.7110006215040398
GSE29536_PTB_control	0.5182157743734098	0.5160731680917848	0.5207138994050838	0.5074262792714658	0.5140272963604853	0.513624790075302	0.7656502423263328	0.5322222222222223	0.5092210891733565	0.8027218005757655	0.7948194662480377	0.8263479304765384	0.8560763168809623	1	0.8337071930611635	0.6768203528609026
GSE34151_MTB_control	0.5287494973864093	0.5268341708542713	0.5321372933313232	0.5173714113328975	0.5247121524460757	0.5237281319123266	0.8684144694051134	0.5517856258358512	0.5182019308125503	0.8377015625780041	0.8307039440838742	0.8639493115146677	0.9019383128207683	0.8337071930611635	1	0.7235318929558983
GSE54992_MTB_control	0.5952543530215091	0.5942499288357529	0.5986235923103174	0.5862816708514038	0.590800409882728	0.5911240243832963	0.6861014660493827	0.6629136029411765	0.5866849221290433	0.6674738473459899	0.6634969920434698	0.6864333236910616	0.7110006215040398	0.6768203528609026	0.7235318929558983	1
