drug_name	rank_score
raltitrexed	1.2905322178400134
raloxifene	1.2760222615718864
mycophenolic-acid	1.2595514101050267
irinotecan	0.8986991570723881
ingenol	0.8671795632653598
amiodarone	0.8125398036567673
nicergoline	0.789503849016987
bepridil	0.7479847894956247
naftopidil	0.7300597568790489
tolazoline	0.6699064393452597
probucol	0.646282262133284
talniflumate	0.5280950954132821
danazol	0.5129231711851009
clomifene	0.5059608602906309
ciprofibrate	0.449867718528041
quinine	0.337152077350852
palonosetron	0.3316269150933275
forskolin	0.3139770225228073
amsacrine	0.3055878192919385
simvastatin	0.2890888270808275
hexylcaine	0.28670757706149275
trapidil	0.27231781781717695
cortisone	0.1858695276912297
ezetimibe	0.17822204270191985
panobinostat	0.161230468958438
chenodeoxycholic-acid	0.16065754676156851
axitinib	0.13286477056102095
chloroxine	0.1290648432561829
papaverine	0.0778959631428364
rilmenidine	0.03724277401606218
perphenazine	0.02684238598182657
prednisolone	0.01790854121944563
rimexolone	0.005825831489554846
aniracetam	-0.028879451868704543
resveratrol	-0.05385259729469499
dopamine	-0.06765596673451416
valsartan	-0.1102962877015971
azaperone	-0.1335185936591663
isocarboxazid	-0.1379828628115467
ondansetron	-0.17096047148506532
methylene-blue	-0.18196317095102835
felodipine	-0.18829351520556867
itraconazole	-0.1953786788753364
proguanil	-0.19713811257766622
fluorometholone	-0.20640960406752087
vinburnine	-0.2099195779950924
vorinostat	-0.21064044700755108
metoprolol	-0.2508078007756669
acetyl-farnesyl-cysteine	-0.25648731561428706
ibuprofen	-0.26553244297336065
cimetidine	-0.2832369150548359
mestranol	-0.287463111976506
hydrocortisone	-0.2919699854127976
ramipril	-0.3432870285445384
thiothixene	-0.3517056074495473
tretinoin	-0.3632362291531824
dydrogesterone	-0.42676029018502676
propentofylline	-0.44151814256979494
coumarin	-0.44239231667710294
perindopril	-0.4424875212000955
ozagrel	-0.4430927598473076
timolol	-0.4438790579383849
domperidone	-0.44968424499361365
nalbuphine	-0.4502377498758098
flunisolide	-0.45133296742395135
dexamethasone	-0.4530757700105947
ubenimex	-0.46457684052721804
betaxolol	-0.46948478043517283
chlorpromazine	-0.5170185128674262
acitretin	-0.6029111993214666
ranitidine	-0.6110302101591487
phenoxybenzamine	-0.7260368007978695
pyrimethamine	-0.8694953524924958
fludroxycortide	-0.9404687770004466
primidone	-1.0009843688785032
amisulpride	-1.1080647668667234
lamotrigine	-1.2196201298511133
amcinonide	-1.5559669574637949
